URL,Title,Visit Time,Visit Count,Visited From,Web Browser,User Profile,Browser Profile,URL Length,Typed Count
file:///C:/Users/honda/OneDrive%20-%20独立行政法人情報処理推進機構/my/cti/挙動/添付/添付/挙動確認ツール_20170104-3(最新版)/checktool_out/dir_ALLUSERSPROFILE_dlls.txt,,2018/01/30 16:17:53,1,,Internet Explorer 10,honda,,135,
file:///C:/Users/honda/OneDrive%20-%20独立行政法人情報処理推進機構/my/cti/挙動/添付/添付/挙動確認ツール_20170104-3(最新版)/checktool_out/dir_Systemroot_dlls.txt,,2018/01/30 16:18:58,1,,Internet Explorer 10,honda,,130,
ms-settings:network,,2018/01/25 16:59:13,1,,Internet Explorer 10,honda,,19,
